"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,9;1;4,58;0,49;4,09;0;159
0;0;0;0;0;0;0
0,9;1;5,15;0,51;4,64;0;157
0;0;0;0;0;0;0
0,9;1;6,02;0,53;5,49;0;155
0;0;0;0;0;0;0
0,9;1;7,14;0,61;6,53;0;153
0;0;0;0;0;0;0
0,9;1;8,32;1,48;6,84;0;151
0;0;0;0;0;0;0
0,9;1;8,93;1,68;7,25;0;149
0;0;0;0;0;0;0
0,9;1;9,84;2,02;7,82;0;147
0;0;0;0;0;0;0
0,9;1;10,81;2,44;8,37;0;145
0;0;0;0;0;0;0
0,9;1;11,94;2,84;9,1;0;143
0;0;0;0;0;0;0
0,9;1;12,63;3,35;9,28;0;141
0;0;0;0;0;0;0
0,9;1;13,36;4,07;9,29;0;139
0;0;0;0;0;0;0
0,9;1;13,84;4,84;9;0;137
0;0;0;0;0;0;0
0,9;1;14,13;5,63;8,5;0;135
0;0;0;0;0;0;0
0,9;1;14,27;6,34;7,93;0;133
0;0;0;0;0;0;0
0,9;1;14,48;6,94;7,54;0;131
0;0;0;0;0;0;0
0,9;1;14,63;7,33;7,3;0;129
0;0;0;0;0;0;0
0,9;1;14,86;7,58;7,28;0;127
0;0;0;0;0;0;0
0,9;1;15,17;7,76;7,41;0;125
0;0;0;0;0;0;0
0,9;1;15,47;7,92;7,55;0;123
0;0;0;0;0;0;0
0,9;1;15,93;8;7,93;0;121
0;0;0;0;0;0;0
0,9;1;16,52;8,12;8,4;0;119
0;0;0;0;0;0;0
0,9;1;17,41;8,3;9,11;0;117
0;0;0;0;0;0;0
0,9;1;18,25;8,56;9,69;0;115
0;0;0;0;0;0;0
0,9;1;18,99;8,87;10,12;0;113
0;0;0;0;0;0;0
0,9;1;19,85;9,24;10,61;0;111
0;0;0;0;0;0;0
0,9;1;20,61;9,69;10,92;0;109
0;0;0;0;0;0;0
0,9;1;21,56;10,25;11,31;0;107
0;0;0;0;0;0;0
0,9;1;22,59;11,21;11,38;0;105
0;0;0;0;0;0;0
0,9;1;23,44;12,18;11,26;0;103
0;0;0;0;0;0;0
0,9;1;24,04;14,7;9,34;0;101
0;0;0;0;0;0;0
0,9;1;24,32;15,77;8,55;0;99
0;0;0;0;0;0;0
0,9;1;24,56;16,26;8,3;0;97
0;0;0;0;0;0;0
0,9;1;25,03;16,66;8,37;0;95
0;0;0;0;0;0;0
0,9;1;25,6;17,07;8,53;0;93
0;0;0;0;0;0;0
0,9;1;26,05;17,57;8,48;0;91
0;0;0;0;0;0;0
0,9;1;26,41;18,12;8,29;0;89
0;0;0;0;0;0;0
0,9;1;26,63;18,73;7,9;0;87
0;0;0;0;0;0;0
0,9;1;26,83;19,27;7,56;0;85
0;0;0;0;0;0;0
0,9;1;27,01;19,75;7,26;0;83
0;0;0;0;0;0;0
0,9;1;27,12;20,11;7,01;0;81
0;0;0;0;0;0;0
0,9;1;27,36;20,49;6,87;0;79
0;0;0;0;0;0;0
0,9;1;27,45;20,77;6,68;0;77
0;0;0;0;0;0;0
0,9;1;27,67;20,86;6,81;0;75
0;0;0;0;0;0;0
0,9;1;27,82;20,89;6,93;0;73
0;0;0;0;0;0;0
0,9;1;28,14;20,95;7,19;0;71
0;0;0;0;0;0;0
0,9;1;28,53;20,98;7,55;0;69
0;0;0;0;0;0;0
0,9;1;29,13;21,06;8,07;0;67
0;0;0;0;0;0;0
0,9;1;29,73;21,16;8,57;0;65
0;0;0;0;0;0;0
0,9;1;30,54;21,32;9,22;0;63
0;0;0;0;0;0;0
0,9;1;31,28;21,56;9,72;0;61
0;0;0;0;0;0;0
0,9;1;32,07;21,92;10,15;0;59
0;0;0;0;0;0;0
0,9;1;32,93;22,37;10,56;0;57
0;0;0;0;0;0;0
0,9;1;33,72;22,94;10,78;0;55
0;0;0;0;0;0;0
0,9;1;34,44;23,57;10,87;0;53
0;0;0;0;0;0;0
0,9;1;35,11;24,4;10,71;0;51
0;0;0;0;0;0;0
0,9;1;35,42;27,03;8,39;0;49
0;0;0;0;0;0;0
0,9;1;35,49;27,56;7,93;0;47
0;0;0;0;0;0;0
0,9;1;35,77;27,86;7,91;0;45
0;0;0;0;0;0;0
0,9;1;36,17;28,2;7,97;0;43
0;0;0;0;0;0;0
0,9;1;36,71;28,63;8,08;0;41
0;0;0;0;0;0;0
0,9;1;37,09;29,03;8,06;0;39
0;0;0;0;0;0;0
0,9;1;37,48;29,51;7,97;0;37
0;0;0;0;0;0;0
0,9;1;37,66;30,18;7,48;0;35
0;0;0;0;0;0;0
0,9;1;37,78;30,64;7,14;0;33
0;0;0;0;0;0;0
0,9;1;37,84;30,99;6,85;0;31
0;0;0;0;0;0;0
0,9;1;37,94;31,37;6,57;0;29
0;0;0;0;0;0;0
0,9;1;37,97;31,71;6,26;0;27
0;0;0;0;0;0;0
0,9;1;38,01;31,83;6,18;0;25
0;0;0;0;0;0;0
0,9;1;38,17;31,86;6,31;0;23
0;0;0;0;0;0;0
0,9;1;38,41;31,85;6,56;0;21
0;0;0;0;0;0;0
0,9;1;38,63;31,9;6,73;0;19
0;0;0;0;0;0;0
0,9;1;38,9;31,95;6,95;0;17
0;0;0;0;0;0;0
0,9;1;39,38;32,04;7,34;0;15
0;0;0;0;0;0;0
0,9;1;39,93;32,19;7,74;0;13
0;0;0;0;0;0;0
0,9;1;40,46;32,36;8,1;0;11
0;0;0;0;0;0;0
0,9;1;40,99;32,56;8,43;0;9
0;0;0;0;0;0;0
0,9;1;41,62;32,84;8,77999999999999;0;7
0;0;0;0;0;0;0
0,9;1;42,25;33,15;9,1;0;5
0;0;0;0;0;0;0
0,9;1;42,99;33,6;9,39;0;3
0;0;0;0;0;0;0
0,9;1;43,52;34,17;9,35;0;1
0;0;0;0;0;0;0
1;1;0,5;0;0,5;0,33;299
0;0;0;0;0;0;0
1;1;0,25;0;0,25;0,16;297
0;0;0;0;0;0;0
1;1;0,17;0;0,17;0,11;295
0;0;0;0;0;0;0
1;1;1;0;1;0,08;293
0;0;0;0;0;0;0
1;1;0,9;0;0,9;0,06;291
0;0;0;0;0;0;0
1;1;0,75;0;0,75;0,05;289
0;0;0;0;0;0;0
1;1;0,64;0,07;0,57;0,05;287
0;0;0;0;0;0;0
1;1;0,56;0,06;0,5;0,04;285
0;0;0;0;0;0;0
1;1;0,56;0,06;0,5;0,04;283
0;0;0;0;0;0;0
1;1;0,6;0,1;0,5;0,03;281
0;0;0;0;0;0;0
1;1;0,59;0,09;0,5;0,03;279
0;0;0;0;0;0;0
1;1;0,54;0,08;0,46;0,03;277
0;0;0;0;0;0;0
1;1;0,5;0,08;0,42;0,02;275
0;0;0;0;0;0;0
1;1;0,46;0,07;0,39;0,02;273
0;0;0;0;0;0;0
1;1;0,43;0,07;0,36;0,02;271
0;0;0;0;0;0;0
1;1;0,47;0,06;0,41;0,02;269
0;0;0;0;0;0;0
1;1;0,5;0,06;0,44;0,02;267
0;0;0;0;0;0;0
1;1;0,58;0,06;0,52;0,02;265
0;0;0;0;0;0;0
1;1;0,61;0,05;0,56;0,02;263
0;0;0;0;0;0;0
1;1;0,58;0,05;0,53;0,02;261
0;0;0;0;0;0;0
1;1;0,6;0,05;0,55;0,02;259
0;0;0;0;0;0;0
1;1;0,59;0,05;0,54;0,01;257
0;0;0;0;0;0;0
1;1;0,59;0,04;0,55;0,01;255
0;0;0;0;0;0;0
1;1;0,62;0,1;0,52;0,01;253
0;0;0;0;0;0;0
1;1;0,64;0,12;0,52;0,01;251
0;0;0;0;0;0;0
1;1;0,62;0,12;0,5;0,01;249
0;0;0;0;0;0;0
1;1;0,93;0,13;0,8;0,01;247
0;0;0;0;0;0;0
1;1;0,93;0,12;0,81;0,01;245
0;0;0;0;0;0;0
1;1;0,93;0,12;0,81;0,01;243
0;0;0;0;0;0;0
1;1;0,92;0,12;0,8;0,01;241
0;0;0;0;0;0;0
1;1;0,92;0,11;0,81;0,01;239
0;0;0;0;0;0;0
1;1;0,91;0,11;0,8;0,01;237
0;0;0;0;0;0;0
1;1;0,95;0,14;0,81;0,01;235
0;0;0;0;0;0;0
1;1;0,99;0,13;0,86;0,01;233
0;0;0;0;0;0;0
1;1;1,07;0,14;0,93;0,01;231
0;0;0;0;0;0;0
1;1;1,06;0,14;0,92;0,01;229
0;0;0;0;0;0;0
1;1;1,16;0,14;1,02;0,01;227
0;0;0;0;0;0;0
1;1;1,14;0,13;1,01;0,01;225
0;0;0;0;0;0;0
1;1;1,13;0,14;0,99;0,01;223
0;0;0;0;0;0;0
1;1;1,1;0,14;0,96;0,01;221
0;0;0;0;0;0;0
1;1;1,07;0,13;0,94;0,01;219
0;0;0;0;0;0;0
1;1;1,24;0,13;1,11;0,01;217
0;0;0;0;0;0;0
1;1;1,35;0,13;1,22;0,01;215
0;0;0;0;0;0;0
1;1;1,35;0,15;1,2;0,01;213
0;0;0;0;0;0;0
1;1;1,36;0,17;1,19;0,01;211
0;0;0;0;0;0;0
1;1;1,35;0,16;1,19;0,01;209
0;0;0;0;0;0;0
1;1;1,36;0,19;1,17;0,01;207
0;0;0;0;0;0;0
1;1;1,36;0,19;1,17;0,01;205
0;0;0;0;0;0;0
1;1;1,39;0,29;1,1;0,01;203
0;0;0;0;0;0;0
1;1;1,43;0,32;1,11;0,01;201
0;0;0;0;0;0;0
1;1;1,42;0,33;1,09;0,01;199
0;0;0;0;0;0;0
1;1;1,77;0,35;1,42;0,01;197
0;0;0;0;0;0;0
1;1;1,85;0,37;1,48;0,01;195
0;0;0;0;0;0;0
1;1;2,01;0,37;1,64;0,01;193
0;0;0;0;0;0;0
1;1;1,98;0,36;1,62;0,01;191
0;0;0;0;0;0;0
1;1;1,96;0,37;1,59;0,01;189
0;0;0;0;0;0;0
1;1;1,95;0,36;1,59;0,01;187
0;0;0;0;0;0;0
1;1;2,02;0,38;1,64;0,01;185
0;0;0;0;0;0;0
1;1;2,08;0,37;1,71;0,01;183
0;0;0;0;0;0;0
1;1;2,21;0,38;1,83;0,01;181
0;0;0;0;0;0;0
1;1;2,27;0,39;1,88;0,01;179
0;0;0;0;0;0;0
1;1;2,44;0,38;2,06;0,01;177
0;0;0;0;0;0;0
1;1;2,51;0,37;2,14;0,01;175
0;0;0;0;0;0;0
1;1;2,58;0,38;2,2;0;173
0;0;0;0;0;0;0
1;1;2,69;0,38;2,31;0;171
0;0;0;0;0;0;0
1;1;2,89;0,39;2,5;0;169
0;0;0;0;0;0;0
1;1;3,08;0,4;2,68;0;167
0;0;0;0;0;0;0
1;1;3,5;0,43;3,07;0;165
0;0;0;0;0;0;0
1;1;3,62;0,44;3,18;0;163
0;0;0;0;0;0;0
1;1;3,81;0,49;3,32;0;161
0;0;0;0;0;0;0
1;1;4,04;0,51;3,53;0;159
0;0;0;0;0;0;0
1;1;4,45;0,54;3,91;0;157
0;0;0;0;0;0;0
1;1;4,95;0,55;4,4;0;155
0;0;0;0;0;0;0
1;1;5,89;0,59;5,3;0;153
0;0;0;0;0;0;0
1;1;7,16;1,17;5,99;0;151
0;0;0;0;0;0;0
1;1;7,68;1,39;6,29;0;149
0;0;0;0;0;0;0
1;1;8,6;1,58;7,02;0;147
0;0;0;0;0;0;0
1;1;9,76;1,89;7,87;0;145
0;0;0;0;0;0;0
1;1;10,91;2,18;8,73;0;143
0;0;0;0;0;0;0
1;1;11,71;2,62;9,09;0;141
0;0;0;0;0;0;0
1;1;12,25;3,21;9,04;0;139
0;0;0;0;0;0;0
1;1;12,66;4,02;8,64;0;137
0;0;0;0;0;0;0
1;1;12,93;4,69;8,24;0;135
0;0;0;0;0;0;0
1;1;13,21;5,29;7,92;0;133
0;0;0;0;0;0;0
1;1;13,44;5,84;7,6;0;131
0;0;0;0;0;0;0
1;1;13,63;6,28;7,35;0;129
0;0;0;0;0;0;0
1;1;13,82;6,57;7,25;0;127
0;0;0;0;0;0;0
1;1;14,14;6,77;7,37;0;125
0;0;0;0;0;0;0
1;1;14,51;6,89;7,62;0;123
0;0;0;0;0;0;0
1;1;15,04;7,01;8,03;0;121
0;0;0;0;0;0;0
1;1;15,63;7,18;8,45;0;119
0;0;0;0;0;0;0
1;1;16,3;7,34;8,96;0;117
0;0;0;0;0;0;0
1;1;17,21;7,61;9,6;0;115
0;0;0;0;0;0;0
1;1;18,03;7,9;10,13;0;113
0;0;0;0;0;0;0
1;1;18,94;8,23;10,71;0;111
0;0;0;0;0;0;0
1;1;19,87;8,77;11,1;0;109
0;0;0;0;0;0;0
1;1;20,82;9,28;11,54;0;107
0;0;0;0;0;0;0
1;1;21,84;10,27;11,57;0;105
0;0;0;0;0;0;0
1;1;22,58;11,24;11,34;0;103
0;0;0;0;0;0;0
1;1;23,32;13,81;9,51;0;101
0;0;0;0;0;0;0
1;1;23,54;14,99;8,55;0;99
0;0;0;0;0;0;0
1;1;23,73;15,53;8,2;0;97
0;0;0;0;0;0;0
1;1;24,12;16,02;8,1;0;95
0;0;0;0;0;0;0
1;1;24,87;16,41;8,46;0;93
0;0;0;0;0;0;0
1;1;25,4;16,92;8,48;0;91
0;0;0;0;0;0;0
1;1;25,69;17,49;8,2;0;89
0;0;0;0;0;0;0
1;1;25,98;18,13;7,85;0;87
0;0;0;0;0;0;0
1;1;26,19;18,71;7,48;0;85
0;0;0;0;0;0;0
1;1;26,35;19,18;7,17;0;83
0;0;0;0;0;0;0
1;1;26,43;19,52;6,91;0;81
0;0;0;0;0;0;0
1;1;26,54;19,88;6,66;0;79
0;0;0;0;0;0;0
1;1;26,67;20,15;6,52;0;77
0;0;0;0;0;0;0
1;1;26,8;20,24;6,56;0;75
0;0;0;0;0;0;0
1;1;26,99;20,28;6,71;0;73
0;0;0;0;0;0;0
1;1;27,19;20,3;6,89;0;71
0;0;0;0;0;0;0
1;1;27,59;20,3;7,29;0;69
0;0;0;0;0;0;0
1;1;28,15;20,36;7,79;0;67
0;0;0;0;0;0;0
1;1;28,89;20,51;8,38;0;65
0;0;0;0;0;0;0
1;1;29,62;20,64;8,98;0;63
0;0;0;0;0;0;0
1;1;30,3;20,83;9,47;0;61
0;0;0;0;0;0;0
1;1;31,07;21,07;10;0;59
0;0;0;0;0;0;0
1;1;31,93;21,49;10,44;0;57
0;0;0;0;0;0;0
1;1;32,77;22,07;10,7;0;55
0;0;0;0;0;0;0
1;1;33,63;22,82;10,81;0;53
0;0;0;0;0;0;0
1;1;34,26;23,58;10,68;0;51
0;0;0;0;0;0;0
1;1;34,49;26,18;8,31;0;49
0;0;0;0;0;0;0
1;1;34,65;26,65;8;0;47
0;0;0;0;0;0;0
1;1;34,96;27;7,96;0;45
0;0;0;0;0;0;0
1;1;35,47;27,33;8,14;0;43
0;0;0;0;0;0;0
1;1;36,02;27,7;8,32;0;41
0;0;0;0;0;0;0
1;1;36,4;28,24;8,16;0;39
0;0;0;0;0;0;0
1;1;36,72;28,77;7,95;0;37
0;0;0;0;0;0;0
1;1;36,91;29,36;7,55;0;35
0;0;0;0;0;0;0
1;1;37,04;29,89;7,15;0;33
0;0;0;0;0;0;0
1;1;37,16;30,28;6,88;0;31
0;0;0;0;0;0;0
1;1;37,21;30,67;6,54;0;29
0;0;0;0;0;0;0
1;1;37,3;30,91;6,39;0;27
0;0;0;0;0;0;0
1;1;37,4;31,05;6,35;0;25
0;0;0;0;0;0;0
1;1;37,56;31,19;6,37;0;23
0;0;0;0;0;0;0
1;1;37,68;31,18;6,5;0;21
0;0;0;0;0;0;0
1;1;37,85;31,22;6,63;0;19
0;0;0;0;0;0;0
1;1;38,19;31,27;6,92;0;17
0;0;0;0;0;0;0
1;1;38,65;31,38;7,27;0;15
0;0;0;0;0;0;0
1;1;39,23;31,53;7,7;0;13
0;0;0;0;0;0;0
1;1;39,78;31,63;8,15;0;11
0;0;0;0;0;0;0
1;1;40,27;31,77;8,5;0;9
0;0;0;0;0;0;0
1;1;40,88;32,02;8,86;0;7
0;0;0;0;0;0;0
1;1;41,62;32,39;9,23;0;5
0;0;0;0;0;0;0
1;1;42,21;33;9,21;0;3
0;0;0;0;0;0;0
1;1;42,74;33,57;9,17;0;1
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
